input,label
Christopher Walken kinda romanced Cyndi Lauper in The Opportunists,1
right into the center of that world,1
A real winner --,1
melodramatic mountain,1
spout hilarious dialogue,1
about discovering your destination in life,1
b.s.,0
the pathology it pretends to investigate,0
inexpressible,1
"You can see the would-be surprises coming a mile away , and the execution of these twists is delivered with a hammer",0
can not engage,0
with humor,1
will you feel after an 88-minute rip-off of The Rock with action confined to slo-mo gun firing and random glass-shattering ?,0
such a lousy way,0
mostly to the tongue-in-cheek attitude of the screenplay,1
strangling the life out,0
a silly -LRB- but not sophomoric -RRB- romp,1
"that both thrills the eye and , in its over-the-top way ,",1
lower-wit,0
stakes out the emotional heart of Happy,1
this is the opposite of a truly magical movie .,0
by an imaginatively mixed cast of antic spirits,1
intriguing questions,1
"A thoroughly engaging , surprisingly touching British comedy .",1
consistently sensitive,1
"But for the most part , The Weight of Water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",0
a meditation on the deep deceptions of innocence,1
their own pseudo-witty copycat interpretations,0
better luck,0
"Farrelly Brothers-style , down-and-dirty laugher",1
glucose sentimentality and,0
appreciation of the daily,1
"joy to watch , even when her material is not first-rate",1
worn threadbare,0
Green Dragon is still a deeply moving effort to put a human face on the travail of thousands of Vietnamese .,1
of male-ridden angst,0
"Anybody who enjoys quirky , fun , popcorn movies with a touch of silliness and a little bloodshed .",1
"filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two",1
"grandstanding , emotional , Rocky-like moments",1
where it plainly has no business going,0
A quaint,1
unhurried narrative,1
fantastically,1
"much about the film , including some of its casting",1
"The obnoxious special effects ,",0
a movie that deserves recommendation,1
directed with sensitivity and skill,1
a particularly nightmarish fairytale,0
"A bittersweet film ,",1
"unfolds as Sand 's masculine persona , with its love of life and beauty , takes form",1
settles on a consistent tone .,1
sketchy characters and immature provocations can fully succeed at cheapening it .,0
are flat,0
rush,0
falls apart like a cheap lawn chair,0
see this terrific film with your kids --,1
"in their cheap , B movie way",0
A brutal and funny,1
the most awful acts are committed,0
"Lazy , miserable and smug",0
are acting horribly,0
A properly spooky film,1
winning and wildly fascinating,1
"as assembled , Frankenstein-like",0
wildly popular,1
Absolutely not .,0
will be put to sleep or bewildered by the artsy and often pointless visuals .,0
An unsophisticated sci-fi drama that takes itself all too seriously .,0
to take everyone to since there 's no new `` A Christmas Carol '' out in the theaters this year,0
"chilling , unnerving film",1
governmental odds,1
funniest moment,1
One Hour Photo is a sobering meditation on why we take pictures .,1
just goes on and on and on and on,0
The charms of the lead performances,1
is still quite good-natured and not a bad way to spend an hour or two .,1
to be as naturally charming as it needs to be,1
need not apply,0
s Pauly Shore awful .,0
"` It 's painful to watch Witherspoon 's talents wasting away inside unnecessary films like Legally Blonde and Sweet Home Abomination , I mean , Alabama . '",0
their own mortality,1
"is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams",1
remotely new or interesting,0
visual flair,1
"failed jokes , twitchy acting ,",0
makes it worth watching,1
s one of the few ` cool ' actors who never seems aware of his own coolness .,1
"as the slight , pale Mr. Broomfield continues to force himself on people and into situations that would make lesser men run for cover",1
episodic choppiness,0
distracting special effects and visual party tricks,0
"charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark",1
", the film 's ice cold",0
features some decent performances,1
exciting plot,1
confusing,0
cheeky,1
One of the most depressing movie-going experiences I can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .,0
Great over-the-top,1
a clarity of purpose and even-handedness,1
lame,0
coolness,1
Sweet Home Alabama is n't as funny as you 'd hoped .,0
"A baffling subplot involving smuggling drugs inside Danish cows falls flat , and if you 're going to alter the Bard 's ending , you 'd better have a good alternative .",0
s so fascinating you wo n't be able to look away for a second .,1
one of the more influential works of the ` Korean New Wave ' .,1
"More concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers",0
"A breathtaking adventure for all ages , Spirit",1
A Veggie Tales Movie may well depend on your threshold for pop manifestations of the Holy Spirit .,0
The feature-length stretch ... strains the show 's concept,0
"The action here is unusually tame , the characters are too simplistic to maintain interest ,",0
this disappointed by a movie in a long time,0
s depression,0
"The huskies are beautiful , the border collie is funny and the overall feeling is genial and decent .",1
"Far-fetched premise , convoluted plot ,",0
the finish line winded but,0
is overwhelmed by predictability,0
for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything,0
"This Bond film goes off the beaten path , not necessarily for the better .",0
trivializes the movie with too many nervous gags and,0
provide a reason for us to care beyond the very basic dictums of human decency,0
the extraordinary technical accomplishments of the first film,1
"As home movie gone haywire , it 's pretty enjoyable",1
empty sub-music video style,0
subconscious,1
justifies,1
schmucks,0
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,1
is so film-culture referential that the final product is a ghost .,0
bemused contempt,0
welcome in her most charmless,0
"The issues are presented in such a lousy way , complete with some of the year 's -LRB- unintentionally -RRB- funniest moments , that it 's impossible to care .",0
an intoxicating show,1
described as sci-fi generic,0
"A deftly entertaining film , smartly played and smartly directed .",1
whether you think Kissinger was a calculating fiend or just a slippery self-promoter,0
make up for a derivative plot,1
"It 's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",1
"a touch of the flamboyant , the outrageous",1
"a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers",0
a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency,0
which is more than he has ever revealed before about the source of his spiritual survival,1
The movie is pretty funny now and then without in any way demeaning its subjects .,1
is a rather toothless take on a hard young life,0
are enthralling,1
"Henry Bean 's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect",1
banter-filled comedy,1
rich and exciting,1
"but something far more stylish and cerebral -- and ,",1
feel fresh,1
Like a child with an important message to tell ...,1
visually masterful,1
a too-conscientious adaptation,0
", in itself , is extraordinary .",1
"Oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",0
the characters ' moves are often more predictable than their consequences,0
stand a ghost of a chance,0
does n't overcome the tumult of maudlin tragedy .,0
does n't have anything really interesting to say .,0
", obnoxious",0
"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",1
he allows a gawky actor like Spall -- who could too easily become comic relief in any other film -- to reveal his impressively delicate range .,1
is a triumph of imagination,1
"is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor",1
"Stupid ,",0
think of a film more cloyingly,1
difficulties,0
flawed support structure,0
just a waste,0
one that spans time and reveals meaning,1
"slow , predictable",0
", the film , directed by Joel Zwick , is heartfelt and hilarious in ways you ca n't fake .",1
begins to fade from memory,0
is beautiful filmmaking from one of French cinema 's master craftsmen,1
are served with a hack script .,0
"of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery",1
you instantly know whodunit,0
"stay on the light , comic side of the issue , despite the difficulty of doing so when dealing with the destruction of property and , potentially , of life itself",1
", meditative",1
It uses some of the figures from the real-life story to portray themselves in the film .,1
enough to give the film the substance it so desperately needs,0
ages-old slapstick and unfunny tricks,0
of this slick and sprightly CGI feature,1
Examines its explosive subject matter,1
of weeks,1
"cold , oddly colorful and just plain otherworldly",1
"is a little scattered -- ditsy ,",0
is an encouraging debut feature but,1
know what it wants to be when it grows up,1
"but disintegrates into a dreary , humorless soap opera",0
Lawrence 's over-indulgent tirade,0
"Director Uwe Boll and writer Robert Dean Klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters .",0
who embraces a strict moral code,1
encouraging thought,1
"captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path",1
is a total misfire .,0
the man,1
"-- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight .",1
broad streaks of common sense emerge with unimpeachable clarity,1
"figures prominently in this movie , and",1
Pompous and garbled .,0
"cold , grey , antiseptic and emotionally desiccated",0
A fascinating case study of flower-power liberation --,1
you 'd want to smash its face in,0
"It tends to remind one of a really solid Woody Allen film , with its excellent use of New York locales and sharp writing",1
an excuse to get to the closing bout ... by which time it 's impossible to care who wins,0
as bad a film,0
melodramatic paranormal romance,0
", slapdash disaster .",0
the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor Stephen Rea,0
parable that loves its characters and communicates something rather beautiful about human nature .,1
delicate treatment,1
fatal for a film that relies on personal relationships,0
"The dose is strong and funny , for the first 15 minutes anyway ; after that , the potency wanes dramatically",0
"This wretchedly unfunny wannabe comedy is inane and awful - no doubt , it 's the worst movie I 've seen this summer",0
"sexy , funny and touching",1
"oftentimes funny , yet ultimately cowardly autocritique",1
hoping that it would be sleazy and fun,1
which might have been called Freddy Gets Molested by a Dog,0
"does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself",0
from the preposterous hairpiece worn by Lai 's villainous father to the endless action sequences,0
"find that real natural , even-flowing tone",1
with spikes of sly humor,1
is greatness,1
are cast adrift in various New York City locations with no unifying rhythm or visual style .,0
despicable characters,0
summer audience,1
marked by acute writing and a host of splendid performances .,1
unbalanced mixture,0
an opportunity to strongly present some profound social commentary,0
"messy and frustrating , but very pleasing at its best moments",1
"s super - violent , super-serious and super-stupid",0
"rubbish that is listless , witless , and devoid of anything resembling humor .",0
"future-world holographic librarian -LRB- Orlando Jones -RRB- who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized",1
has the potential for Touched by an Angel simplicity and sappiness,0
fails to live up to -- or offer any new insight into -- its chosen topic,0
slummer,0
need another film that praises female self-sacrifice,1
other hallmarks of his personal cinema painted on their largest-ever historical canvas,1
"big , tender hug",1
of sensual delights and simmering violence,1
moviegoers for real characters and compelling plots,1
from charismatic rising star Jake Gyllenhaal but also,1
"bordering on offensive , waste of time , money and celluloid",0
"s insecure in Lovely and Amazing ,",1
a mess as this one,0
"s a cipher , played by an actress who smiles and frowns but does n't reveal an inner life",0
the light comedic work,1
"of light-heartedness , that makes it attractive throughout",1
fetching,1
low-budget and,0
terrific B movie,1
"Not a schlocky creature feature but something far more stylish and cerebral -- and , hence , more chillingly effective .",1
sensitive and astute,1
rather thin,0
done and perfectly,1
the film is more worshipful than your random E !,0
"A good film with a solid pedigree both in front of and , more specifically , behind the camera",1
leaves no Southern stereotype unturned,0
", `` Rollerball '' 2002 may go down in cinema history as the only movie ever in which the rest of the cast was outshined by LL Cool J.",0
s not vintage Spielberg,0
It 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .,0
a black hole,0
s an enthusiastic charm in Fire that makes the formula fresh again,1
"fallen under the sweet , melancholy spell of this unique director 's previous films",1
F,0
value and respect,1
"has the screen presence to become a major-league leading lady , -LRB- but -RRB-",1
"Berry 's saucy , full-bodied performance",1
"Zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",1
"You would n't want to live waydowntown , but it is a hilarious place to visit",1
"A portrait of alienation so perfect ,",1
needless,0
"horrible , 99-minute",0
strong and confident,1
worth a rental,1
grows on you --,1
bad singer-turned actors,0
A thought-provoking and often-funny drama about isolation,1
sham actor workshops and,0
of authentically impulsive humor,1
"solid , psychological action film",1
likely to witness in a movie theatre for some time,1
with plenty of action and almost no substance,0
is even better than The Fellowship,1
The very simple story seems too simple and the working out of the plot almost arbitrary .,0
to hell,0
made him bitter and less mature,0
"is a far bigger , far more meaningful story than one in which little green men come to Earth for harvesting purposes",1
substituting,1
has dressed up this little parable in a fairly irresistible package full of privileged moments and memorable performances,1
otherwise mediocre film,0
"Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill .",1
charming but slight,1
to sneak out of the theater,0
like my Christmas movies with more elves and snow and less pimps and ho 's .,0
"It seems impossible that an epic four-hour Indian musical about a cricket game could be this good ,",1
so distant you might as well be watching it through a telescope,0
"Delia , Greta , and Paula rank as three of the most multilayered and sympathetic female characters of the year .",1
moments of genuine insight into the urban heart,1
"The filmmaker ascends , literally , to the Olympus of the art world , but he would have done well to end this flawed , dazzling series with the raising of something other than his own cremaster",0
The film is strictly routine .,0
it classicism or be exasperated by a noticeable lack of pace,0
"Sillier , cuter , and",1
"looks like an episode of the TV show Blind Date , only less technically proficient and without the pop-up comments",0
"acquainted with the author 's work , on the other hand ,",1
cheesier to cheesiest,0
not one clever line of dialogue,0
seems unsure of how to evoke any sort of naturalism on the set .,0
to compensate for the paper-thin characterizations and facile situations,0
awful acts,0
the worst thing,0
Very well-written and very well-acted,1
the movie about the baseball-playing monkey was worse . '',0
at the film 's nightmare versions of everyday sex-in-the-city misadventures,0
enriched by an imaginatively mixed cast of antic spirits,1
Another wholly unnecessary addition,0
the cartoon in Japan that gave people seizures,0
to pop up in a cinematic year already littered with celluloid garbage,0
-LRB- but -RRB- there is n't much about K-19 that 's unique or memorable .,0
is something that is so meditative and lyrical about Babak Payami 's boldly quirky Iranian drama Secret Ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of Middle Eastern world politics,1
is without intent .,0
amusing and unexpectedly insightful examination,1
brilliantly played,1
keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong,0
that suck the audience in,1
"reminds us that , in any language , the huge stuff in life can usually be traced back to the little things",1
A fast paced and suspenseful Argentinian thriller about the shadow side,1
s unlikely to become a household name on the basis of his first starring vehicle,0
that we associate with Cage 's best acting,1
but here the choices are as contrived and artificial as Kerrigan 's platinum-blonde hair,0
difficult to spot the culprit early-on in this predictable thriller,1
Vietnam War,0
", an attempt is made to transplant a Hollywood star into Newfoundland 's wild soil",0
fu,0
ploughing the same furrow once too often,0
allows us to chuckle through the angst,1
and entirely implausible,0
"It looks good , Sonny ,",1
"usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails",1
that a decent draft in the auditorium might blow it off the screen,0
soars every bit as high,1
without sacrificing any of the cultural intrigue,1
"exploit its gender politics , genre thrills or inherent humor",1
"A stylish but steady , and ultimately very satisfying , piece of character-driven storytelling",1
"to tolerate this insipid , brutally clueless film",0
an eye on preserving a sense of mystery,1
a very rainy day .,0
an accuracy,1
"The film would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama , ' but the emphasis on the latter leaves Blue Crush waterlogged .",0
is the fact that there is nothing distinguishing in a Randall Wallace film,0
"looked like crap , so crap is what I was expecting .",0
"piss on trees , b.s. one another",0
"Harry Potter and the Chamber of Secrets is deja vu all over again ,",0
"minded patience , respect and affection",1
wonderful subject,1
"to restore -LRB- Harmon -RRB- to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience",1
gorgeously strange movie,1
flinging their feces,0
With a cast of A-list Brit actors,1
"Lucy 's a dull girl , that 's all .",0
designed Equilibrium becomes a concept doofus,0
vulgarities,0
blazingly alive and admirable,1
obvious political insights,1
", it probably would look a lot like this alarming production , adapted from Anne Rice 's novel The Vampire Chronicles .",0
of the most affecting depictions of a love affair,1
"s a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries",1
"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",1
"little action , almost no suspense or believable tension , one-dimensional characters up the wazoo and sets",0
original cartoon,1
seduced,1
have a case of masochism and an hour and a half to blow,0
"Stands as a document of what it felt like to be a New Yorker -- or , really , to be a human being -- in the weeks after 9\/11 .",1
avoid being recognized as the man who bilked unsuspecting moviegoers,0
This low-rent -- and even lower-wit -- rip-off,0
to the annoying score to ` special effects ' by way of replacing objects in a character 's hands below the camera line,0
would be a lot better if it stuck to Betty Fisher and left out the other stories,0
"Bursting through the constraints of its source , this is one adapted - from-television movie that actually looks as if it belongs on the big screen .",1
dazzling pop entertainment,1
of the peculiarly moral amorality of -LRB- Woo 's -RRB- best work,1
"One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .",1
"the writing is indifferent ,",0
did n't find much fascination in the swinging .,0
loosely connected characters and,0
"families looking for a clean , kid-friendly outing",1
Robert John Burke as The Monster horns in and steals the show .,1
"You 've already seen City by the Sea under a variety of titles , but",0
"Insomnia does not become one of those rare remakes to eclipse the original , but",1
an unrewarding collar,0
it works beautifully as a movie without sacrificing the integrity of the opera .,1
ambitious but self-indulgent,0
this movie loves women at all,1
aggressively anti-erotic,0
It 's a sharp movie about otherwise dull subjects .,1
A fake street drama that keeps telling you,0
"s a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today",1
"Schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that 's enough to sustain laughs ...",0
"touches to a shrill , didactic cartoon",0
"Rifkin no doubt fancies himself something of a Hubert Selby Jr. , but there is n't an ounce of honest poetry in his entire script ;",0
its decrepit freaks,0
"its best ,",1
"Ludicrous , but director Carl Franklin adds enough flourishes and freak-outs to make it entertaining .",1
are among the chief reasons Brown Sugar is such a sweet and sexy film .,1
Bertrand Tavernier 's oft-brilliant Safe Conduct -LRB- `` Laissez-passer '' -RRB- wears its heart on its sleeve,1
"Drug abuse , infidelity and death are n't usually comedy fare , but Turpin 's film allows us to chuckle through the angst",1
allows each character to confront their problems openly and honestly,1
feels like three hours,0
A film that should be relegated to a dark video store corner is somehow making its way instead to theaters .,0
"can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise",0
"historically significant , and personal",1
provides an invaluable service,0
"An empty , ugly exercise",0
thought would leave you cold,0
recognizable and true,1
"Like Vardalos and Corbett , who play their roles with vibrant charm , the film , directed by Joel Zwick , is heartfelt and hilarious in ways you ca n't fake .",1
"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",1
we do n't like,0
"a calm , self-assured portrait",1
A listless sci-fi comedy in which Eddie Murphy deploys two,0
silliness and,1
want my money back .,0
rambles,0
Slackers ' jokey approach,0
Leave it,0
check your brain at the door,0
"A determined , ennui-hobbled slog",0
a feature-length film,1
"dramatize life 's messiness from inside out , in all its strange quirks",1
delightful surprise,1
properly spooky film,1
than much of what 's on Saturday morning TV especially the pseudo-educational stuff we all ca n't stand,0
to the soggy performances,0
the film was better than Saving Private Ryan,1
that make 105 minutes seem twice as long,0
you suffer the dreadfulness of war from both sides,0
Suffers from unlikable characters and a self-conscious sense of its own quirky hipness,0
dark to be decipherable,0
grownups,1
otherwise appalling,0
Astonishing ... -LRB- frames -RRB- profound ethical and philosophical questions in the form of dazzling pop entertainment,1
A straight-ahead thriller that never rises above superficiality .,0
confines himself to shtick and sentimentality -- the one bald and the other sloppy .,0
in execution,0
delightful .,1
"There are some fairly unsettling scenes ,",0
ends with scenes so true and heartbreaking that tears welled up in my eyes both times,1
of being placed on any list of favorites,1
especially thin stretched over the nearly 80-minute running time,0
a wholesome fantasy for kids,1
About one in three gags in White 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook,0
Kung Pow seems like some futile concoction that was developed hastily after Oedekerk and his fellow moviemakers got through crashing a college keg party,0
sparking debate and,1
to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in,1
Death to Smoochy keeps firing until the bitter end .,1
film buffs,1
fierce grandeur,1
film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly,0
gets too cloying,0
it is and its comedy is generally mean-spirited,0
s mildly interesting,1
one of cinema 's directorial giants,1
"Skip this dreck , rent Animal House and go back to the source",0
who ca n't quite distinguish one sci-fi work from another,0
"s a boring movie about a boring man , made watchable by a bravura performance from a consummate actor incapable of being boring",1
is breathtaking,1
racial profiling Hollywood style,0
"shame Americans ,",0
bottomlessly,0
", original",1
", out-outrage or out-depress",0
"A compelling , gut-clutching piece of advocacy cinema that carries you along in a torrent of emotion as it explores the awful complications of one terrifying day",1
much better documentary,1
Some remarkable achival film about how Shanghai -LRB- of all places -RRB- served Jews who escaped the Holocaust .,1
-LRB-,0
a fudged opportunity,0
"A highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world",1
fabulously funny,1
a convenient conveyor belt of brooding personalities that parade about as if they were coming back from Stock Character camp -- a drowsy drama infatuated by its own pretentious self-examination,0
intellectual and emotional,1
", solid storytelling .",1
crawls along,0
a solid formula for successful animated movies,1
determination to inject farcical raunch,0
it 's certainly an honest attempt to get at something,1
is an excellent choice for the walled-off but combustible hustler,1
"Yes , I suppose it 's lovely that Cal works out his issues with his dad and comes to terms with his picture-perfect life -- but World Traveler gave me no reason to care , so",0
"remains a silent , lumpish cipher",0
"A drama of great power , yet some members of the audience",1
"Tom Shadyac has learned a bit more craft since directing Adams , but he still lingers over every point until the slowest viewer grasps it",0
A bad movie that,0
"s packed to bursting with incident , and with scores of characters , some fictional , some from history",1
weighs down the tale with bogus profundities .,0
its boundary-hopping formal innovations and glimpse,1
"Without resorting to camp or parody , Haynes -LRB- like Sirk , but differently -RRB- has transformed the rhetoric of Hollywood melodrama into something provocative , rich , and strange .",1
Burns gets caught up in the rush of slapstick thoroughfare .,0
real characters and compelling plots,1
", Sylvie Testud is icily brilliant .",1
Mediocre,0
into hogwash,0
wastes its time,0
"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable",1
have enough finely tuned,1
", sad dance",0
might not be the best way to cut your teeth in the film industry,0
Humorous and heartfelt,1
proper respect,1
"The one-liners are snappy , the situations volatile",1
"Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .",1
frittered away,0
"are simply named The Husband , The Wife and The Kidnapper , emphasizing the disappointingly generic nature of the entire effort",0
does n't add up to a whole lot .,0
of emotional blandness,0
just does n't have big screen magic,0
", it 's not half-bad .",1
Mattel,1
screwing things up old school,0
is n't scary,0
for no better reason,0
"an odd show , pregnant with moods , stillborn except as a harsh conceptual exercise",0
going to make box office money that makes Michael Jordan jealous,1
edge or,1
make it the darling of many a kids-and-family-oriented cable channel,1
Cinematic poo .,0
A grand fart coming from a director beginning to resemble someone 's crazy French grandfather .,0
fails to gel together .,0
is that I truly enjoyed most of Mostly Martha while I ne,1
lots of cool stuff packed into ESPN 's Ultimate X.,1
letdown .,0
It follows the basic plot trajectory of nearly every Schwarzenegger film : Someone crosses Arnie,0
Nothing but an episode of Smackdown !,0
finest non-Bondish performance,1
is as predictable,0
"it 's left a few crucial things out , like character development and coherence",0
her bully of a husband,0
its charms and,1
`` Bowling for Columbine '' remains a disquieting and thought-provoking film ...,1
a glorious dose of humankind 's liberating ability,1
can start looking good,1
Too campy to work as straight drama and too violent and sordid to function as comedy,0
you wish you were at home watching that movie instead of in the theater watching this one,0
it 's compelling,1
a fairly irresistible package,1
highlight,1
